date,regn,Assets,Loans_Total_Net,Loans_LLP,Equity,Net_Income_Current,Client_Deposits,Net_Interest_Income,month,flag_equity_negative,flag_loans_negative,flag_deposits_negative,flag_assets_negative,flag_llp_exceeds_net,flag_llp_positive_sign,profit_month,profit_12m,equity_avg_13,equity_any_neg_in_window,ROE_12m,ROE_12m_flow_check,loans_avg_Q,loans_any_neg_in_Q,LoanYield_3m,Loans_Gross,LDR,flag_roe_outlier,flag_yield_outlier,flag_ldr_outlier
2021-02-01,bank_14,869951.5,419459.8,-32406.3,53019.3,1565.7,725930.1,,2,False,False,False,False,False,False,1565.7,13646.300000000001,47679.123076923075,False,0.28621122032768415,1.916406890550065,425265.95,False,,451866.1,0.6224650279689463,False,False,False
2021-03-01,bank_14,890053.5,415200.0,-32467.5,53217.2,2456.8,760209.5,,3,False,False,False,False,False,False,891.1000000000001,14235.400000000001,48580.053846153845,False,0.29302972872532207,1.9144297430078534,420538.57499999995,False,,447667.5,0.5888738564829826,False,False,False
2021-04-01,bank_14,902191.8,425593.1,-33912.1,55164.1,5032.3,772431.5,3734.6,4,False,False,False,False,False,False,2575.5,11072.900000000001,49657.52307692307,False,0.2229853467086404,1.8420391177849262,421169.225,False,0.03546887833506829,459505.19999999995,0.5948814878730346,False,False,False
2021-05-01,bank_14,911471.8,422552.5,-35488.6,52888.3,3340.7,786038.2,,5,False,False,False,False,False,False,-1691.6000000000004,9807.899999999998,50340.38461538462,False,0.19483164610153947,1.7614903159261945,420701.35,False,,458041.1,0.5827211705487088,False,False,False
2021-06-01,bank_14,939741.6,444583.1,-36064.4,53732.5,3975.0,841896.9,,6,False,False,False,False,False,False,634.3000000000002,9582.1,50933.29230769231,False,0.18813038713684022,1.681636825724386,426982.175,False,,480647.5,0.5709101672663244,False,False,False
2021-07-01,bank_14,951563.6,453747.6,-38255.1,53910.0,4912.6,868936.3,3934.1,7,False,False,False,False,False,False,937.6000000000004,9704.199999999999,51413.85384615384,False,0.18874679243143236,1.6095000434632931,436619.075,False,0.036041485361124,492002.69999999995,0.5662126211092803,False,False,False
2021-08-01,bank_14,944568.8,462412.0,-37538.3,54849.7,6513.8,837693.0,,8,False,False,False,False,False,False,1601.1999999999998,10950.900000000001,51890.31538461538,False,0.21103938025488977,1.5628465427297018,445823.8,False,,499950.3,0.5968180467068485,False,False,False
2021-09-01,bank_14,930308.3,466326.7,-37821.9,56149.5,7390.1,805506.6,,9,False,False,False,False,False,False,876.3000000000002,11840.0,52499.06923076922,False,0.22552780789227184,1.5301547470658456,456767.35,False,,504148.60000000003,0.6258776774765099,False,False,False
2021-10-01,bank_14,910034.3,456509.9,-37113.2,57518.5,9241.5,802244.0,3311.1,10,False,False,False,False,False,False,1851.3999999999996,11152.6,53265.48461538461,False,0.2093776125483482,1.4808726620919046,459749.05000000005,False,0.028807889869484227,493623.10000000003,0.61530295022462,False,False,False
2021-11-01,bank_14,958279.4,478205.1,-42819.7,53326.8,6015.7,835823.4,,11,False,False,False,False,False,False,-3225.8,6469.3,53536.63846153847,False,0.12083874120426226,1.3587666706466872,465863.425,False,,521024.8,0.6233670892679003,False,False,False
