regn,date,Equity,profit_12m,eq_2pt,eq_12pt,eq_13pt,ROE_2pt,ROE_12pt,ROE_13pt
bank_12,2023-12-01,6979.5,1544.1999999999996,6716.1,7009.191666666667,6966.384615384615,0.22992510534387509,0.22031071105441302,0.22166447666265468
bank_12,2024-01-01,7137.1,1379.9,6961.700000000001,7038.425,7019.03076923077,0.19821308013847191,0.19605238387849555,0.19659409473585002
bank_12,2024-02-01,7006.2,689.6,7075.95,7026.8,7035.946153846154,0.09745687858167455,0.09813855524563102,0.09801098316010202
bank_12,2024-03-01,6648.0,341.7000000000001,6960.35,6974.741666666666,6997.661538461539,0.049092358861264174,0.04899106179559819,0.048830598353735766
bank_12,2024-04-01,6130.8,99.60000000000014,6740.700000000001,6873.091666666667,6909.823076923077,0.014775913480795782,0.0144912951595049,0.014414261970416719
bank_12,2024-05-01,6363.2,531.2,6814.549999999999,6797.866666666668,6833.869230769231,0.07795085515551285,0.07814216224697944,0.07773048942878401
bank_12,2024-06-01,5568.3,841.6000000000001,6175.8,6696.616666666668,6703.284615384615,0.13627384306486612,0.12567540325089535,0.12555039033676949
bank_12,2024-07-01,5495.7,596.5000000000001,6228.549999999999,6574.474999999999,6604.238461538462,0.09576867810325039,0.09072967803512831,0.09032078467091648
bank_12,2024-08-01,5297.4,420.90000000000015,6136.7,6434.591666666666,6476.238461538461,0.06858735150813958,0.06541207613536733,0.06499143021055673
bank_12,2024-09-01,4792.4,-173.9999999999999,5914.299999999999,6247.608333333334,6308.2692307692305,-0.029420218791742034,-0.027850657518276974,-0.027582843032649434
bank_12,2024-10-01,3974.1,-791.5999999999998,5380.75,6013.166666666667,6072.723076923076,-0.14711703758769684,-0.1316444469081737,-0.13035338347769468
bank_12,2024-11-01,3483.8,-914.2,5124.55,5739.708333333333,5818.6,-0.17839615185723626,-0.15927638599522334,-0.15711683222768363
bank_12,2024-12-01,3458.1,-1019.9999999999998,5218.8,5446.258333333333,5564.200000000001,-0.19544722924810295,-0.18728454244580756,-0.1833147622299701
bank_12,2025-01-01,3949.0,-1593.2,5543.05,5180.583333333333,5331.084615384616,-0.28742298914857345,-0.30753293548023874,-0.29885100592894215
bank_12,2025-02-01,3980.2,-1561.6000000000001,5493.2,4928.416666666667,5088.246153846154,-0.2842787446297241,-0.3168563264063847,-0.30690339122442073
bank_12,2025-03-01,4187.5,-1583.1,5417.75,4723.375,4871.423076923077,-0.2922061741497854,-0.33516288670706856,-0.32497690613231006
bank_12,2025-04-01,6071.4,-1210.6000000000001,6101.1,4718.425,4827.069230769231,-0.19842323515431645,-0.25656866433184805,-0.25079399986295237
bank_12,2025-05-01,6437.4,-1692.5,6400.299999999999,4724.608333333333,4850.653846153846,-0.2644407293408122,-0.35823075281372535,-0.348922032715653
bank_12,2025-06-01,6243.3,-2227.2,5905.8,4780.858333333334,4841.430769230769,-0.37712079650513053,-0.4658577696124998,-0.46002929839557916
bank_12,2025-07-01,5871.1,-2615.0,5683.4,4812.141666666666,4864.723076923077,-0.460111904845691,-0.543417085601179,-0.5375434446422754
bank_12,2025-08-01,5635.8,-2774.0,5466.6,4840.341666666667,4875.5,-0.5074452127464969,-0.5731000394255914,-0.568967285406625
bank_12,2025-09-01,4388.6,-3156.6,4590.5,4806.691666666667,4805.592307692308,-0.6876375122535672,-0.6567094831337562,-0.6568597163240902
bank_12,2025-10-01,3981.8,-2951.4,3977.95,4807.333333333333,4743.238461538462,-0.7419399439409747,-0.6139370406323673,-0.6222331059110864
bank_12,2025-11-01,3940.9,-2942.9,3712.3500000000004,4845.425,4740.684615384615,-0.7927323662908938,-0.6073564238431097,-0.6207753180731768
bank_12,2025-12-01,3641.0,-2994.4,3549.55,4860.666666666667,4752.776923076923,-0.843599892944176,-0.6160471814565903,-0.630031673790707
bank_12,2026-01-01,2919.9,-3286.9,3434.45,4774.908333333334,4711.376923076923,-0.9570382448426968,-0.688369235709586,-0.6976516745880267
bank_13,2021-01-01,21046.8,-1824.1,23009.15,22060.083333333332,22284.03846153846,-0.07927715713096746,-0.08268781094057517,-0.08185679643069807
bank_13,2021-02-01,20805.5,-1770.8999999999996,22750.7,21735.883333333335,21963.576923076922,-0.07783936318442947,-0.08147356943548799,-0.08062894337303192
bank_13,2021-03-01,20912.9,-1342.6999999999998,22669.35,21443.141666666666,21672.576923076922,-0.059229752948364196,-0.06261675741699851,-0.061953869388291116
bank_13,2021-04-01,20525.1,-951.0,21012.0,21361.991666666665,21372.523076923077,-0.0452598515134209,-0.04451832089626475,-0.04449638428636625
bank_13,2021-05-01,20184.1,-747.5999999999999,20603.85,21292.033333333333,21271.384615384617,-0.036284480813051925,-0.035111724103381384,-0.03514580801944106
bank_13,2021-06-01,20423.3,-424.39999999999975,21046.1,21188.233333333334,21225.207692307693,-0.020165256270757992,-0.020029985196185922,-0.019995092917456263
bank_13,2021-07-01,22299.8,682.2000000000003,22426.949999999997,21167.041666666668,21273.738461538458,0.030418759572746198,0.03222935026741653,0.032067706446301095
bank_13,2021-08-01,22385.0,1032.7,22300.35,21181.149999999998,21260.73076923077,0.046308690222350776,0.0487556152522408,0.0485731187328028
bank_13,2021-09-01,22415.6,1220.6,22234.15,21211.391666666666,21276.107692307694,0.054897533748760344,0.057544550550077844,0.057369515968435515
bank_13,2021-10-01,22430.2,1792.9,22024.0,21279.091666666667,21305.14615384615,0.08140664729386124,0.08425641602026403,0.08415337717250691
bank_13,2021-11-01,21627.4,1905.1,21401.300000000003,21316.774999999998,21305.884615384617,0.08901795685308835,0.08937092970207736,0.08941661115654215
bank_13,2021-12-01,21407.2,2223.7000000000003,21076.4,21371.908333333333,21323.73076923077,0.10550663301133022,0.1040477979466036,0.10428287732879765
bank_13,2022-01-01,22638.0,2991.3,21842.4,21504.508333333335,21469.299999999996,0.1369492363476541,0.13910106446671452,0.1393291816687084
bank_13,2022-02-01,21676.2,2820.9,21240.85,21577.066666666666,21517.715384615385,0.13280541974544335,0.13073602837580642,0.13109663129092558
bank_13,2022-03-01,22438.1,3468.1000000000004,21675.5,21704.166666666668,21643.300000000003,0.1600009227007451,0.15978959493184874,0.1602389654073085
bank_13,2022-04-01,21778.9,2716.3000000000006,21152.0,21808.649999999998,21709.915384615386,0.12841811649016643,0.12455149676848411,0.12511794504389878
bank_13,2022-05-01,20871.3,2062.7000000000003,20527.699999999997,21865.916666666668,21736.546153846153,0.10048373660955687,0.09433402822505346,0.09489548088278127
bank_13,2022-06-01,20751.9,1759.9000000000005,20587.6,21893.3,21780.223076923077,0.08548349491927183,0.08038532336376886,0.08080266183612587
bank_13,2022-07-01,21332.7,303.30000000000007,21816.25,21812.708333333336,21850.17692307692,0.013902480948834015,0.013904738254648955,0.01388089446908193
bank_13,2022-08-01,22065.5,1014.3000000000003,22225.25,21786.083333333332,21832.153846153848,0.04563728192033837,0.04655724411225822,0.046458998372196275
bank_13,2022-09-01,22187.2,1245.0000000000002,22301.4,21767.05,21816.938461538462,0.05582609163550271,0.057196542480492316,0.057065752016252726
bank_13,2022-10-01,22828.2,1743.9,22629.2,21800.216666666667,21848.67692307692,0.0770641472080321,0.07999461779049596,0.07981719012733741
bank_13,2022-11-01,22985.8,2223.3,22306.6,21913.416666666668,21891.415384615386,0.0996700528094824,0.1014583911682721,0.10156035874968902
bank_13,2022-12-01,23205.6,2506.9,22306.4,22063.283333333336,22012.815384615384,0.11238478642900691,0.11362316125508669,0.11388366077662454
bank_13,2023-01-01,23932.2,2146.4,23285.1,22171.13333333333,22207.046153846157,0.09217911883565028,0.09681056749467026,0.0966540072520295
bank_13,2023-02-01,24615.1,2693.7000000000003,23145.65,22416.041666666668,22359.13076923077,0.11638039977274348,0.1201684061823285,0.12047427191162997
bank_13,2023-03-01,24713.9,2163.8,23576.0,22605.691666666666,22592.800000000003,0.09177977604343401,0.0957192565441668,0.09577387486278814
bank_13,2023-04-01,24134.7,3136.1000000000004,22956.800000000003,22802.008333333335,22723.30769230769,0.13660876080289935,0.1375361307721067,0.13801247786921597
bank_13,2023-05-01,23968.4,3909.7,22419.85,23060.100000000002,22891.73076923077,0.1743856448638149,0.16954393085892946,0.17079093055100514
bank_13,2023-06-01,23285.0,3455.0,22018.45,23271.191666666666,23077.4,0.15691386087576556,0.14846682754750778,0.14971357258616655
bank_13,2023-07-01,22899.7,2530.4,22116.2,23401.774999999998,23242.615384615383,0.11441386856693284,0.10812855007793214,0.10886898733758284
bank_13,2023-08-01,22203.3,1260.6,22134.4,23413.25833333333,23309.584615384614,0.05695207459881451,0.053841288643080076,0.054080757799861795
bank_13,2023-09-01,20870.1,43.80000000000018,21528.65,23303.5,23217.63076923077,0.002034498215169097,0.001879545990945574,0.0018864973965408327
bank_13,2023-10-01,20353.7,-492.9999999999998,21590.95,23097.291666666668,23076.592307692303,-0.022833640946785562,-0.021344493852995017,-0.021363639545500145
bank_13,2023-11-01,20510.4,-290.9999999999998,21748.1,22891.008333333335,22898.300000000003,-0.01338047921427618,-0.012712415100397853,-0.012708366996676598
